"";"p_sr";"p_mr";"p_pr";"p_ft";"p_rf";"nn"
"2618";30519,2632912425;43851,3428208893;34781,1243891618;58817,9236046746;28953,6839007238;0,926065594274253
"2619";15455,6295410901;11740,6207256727;14847,3495173706;11254,1980058178;14578,1145018298;-0,581137037231523
"2620";16013,5419022069;3901,37151736394;15304,088695771;5430,53668227666;14185,2249047646;-0,585987887371144
"2621";20005,4829537278;44693,0520057976;19347,2078887964;23024,2258547008;39730,7843333333;0,0774294406780431
"2622";14897,7171799734;9359,67912235949;14419,5613205905;11719,6484549964;12518,6112335927;-0,663069323150981
"2623";13223,9800966231;3686,05476344842;13317,7169590854;5430,53668227666;9068,66390037881;-0,563260199745086
"2624";18468,3562911206;20095,6940546427;17637,8740813305;23880,0760361371;17252,6944395373;-0,0606224957824989
"2625";21592,6655133744;19963,0754155843;21291,8690083808;23880,0760361371;20146,284330047;-0,172358826428911
"2626";14005,0574021866;17191,2547831843;13797,2687065552;11719,6484549964;10865,8712595731;-0,3276333343674
"2627";17129,3666244404;14905,1850933684;16301,2942617868;11254,1980058178;15494,3439398424;-0,494631188001009
"2628";11036,9636410455;6049,30095607974;12316,2868732957;11254,1980058178;6233,0602;-0,779554677255212
"2629";21592,6655133744;11113,0598843331;21291,8690083808;5430,53668227666;20146,284330047;0,2466743435003
"2630";21592,6655133744;15426,6194404876;21291,8690083808;23880,0760361371;20146,284330047;0,247831000363842
"2631";21592,6655133744;9111,84344953578;21291,8690083808;5430,53668227666;20146,284330047;-0,192643879857124
"2632";19361,0160689074;11104,6307546413;18608,7340811599;5430,53668227666;17571,9750816846;-0,343744806636403
"2633";13000,8151521764;3786,29064583313;13192,1560202404;11254,1980058178;8523,34295006058;-0,212818083538828
"2634";14897,7171799734;4543,78147605713;14419,5613205905;5430,53668227666;12518,6112335927;-0,257531612021457
"2635";24940,139680075;17480,8485019188;25911,598978832;11254,1980058178;21495,9952811797;0,849030245866146
"2636";16571,4542633237;6804,66454984061;15788,9974218802;11254,1980058178;15956,4330124585;0,132259000260774
"2637";36098,38690241;37863,1674568094;44435,8764007583;22713,5640301003;31268,0386877322;1,10830467016023
"2638";16013,5419022069;3432,15170329623;15304,088695771;5430,53668227666;14185,2249047646;-0,600705835850959
"2639";14339,8048188566;34880,0340281306;14021,505539342;22430,5430709877;13376,6852767182;-0,335441073567163
"2640";18245,1913466739;5887,87377050333;17404,9265473468;5430,53668227666;17142,5483547113;0,284281101978248
"2641";24940,139680075;23693,314214794;25911,598978832;23880,0760361371;21495,9952811797;0,756886624116861
"2642";22708,4902356079;7572,79287393112;22758,6934592063;5430,53668227666;20764,1511358199;0,590632362774655
"2643";20476,8407911409;15338,2381884167;19906,4653919349;11254,1980058178;19296,3904735365;0,408061012282857
"2644";18276,9365600215;21591,404585965;17437,820038226;23024,2258547008;30578,638;1,62164831087006
"2645";12768,2995965574;7648,1234968761;13066,8473633476;11254,1980058178;6010,8985;-0,317525120085232
"2646";78475,5496620988;67976,7129409639;61809,1687868378;37123,6514430203;66324,3873578;2,78523815224355
"2647";34882,1379551755;37966,855379954;42303,7743882525;58817,9236046746;57580,6003155636;1,72444853306689
"2648";58414,8813470802;46184,5808993559;75278,4722319903;22713,5640301003;49603,7439610327;2,78367448365889
"2649";17966,2351661155;18608,832967557;17119,3828483358;11254,1980058178;13304,8773333333;-0,466427716693986
"2650";28287,6138467755;9590,12309668865;31095,3267338399;22713,5640301003;27696,901849435;-0,0217581200228898
"2651";22373,7428189379;24196,4821405299;22310,4688988906;23880,0760361371;37574,2581784636;0,560545010501173
"2652";19361,0160689074;21765,1265438991;18608,7340811599;23880,0760361371;17571,9750816846;-0,31019998091624
"2653";12666,0677355064;13620,9981567785;13013,5470279001;11719,6484549964;8410,63183514295;-0,71779914442276
"2654";17464,1140411105;12731,5174639607;16621,4935838464;11254,1980058178;17841,7505310435;-0,281459927060791
"2655";16459,8717911003;9316,58649008162;15689,7996216694;11254,1980058178;13926,7466828283;-0,543790172923436
"2656";13781,8924577399;19321,1515425844;13653,9636075365;11719,6484549964;10577,2828184279;-0,677665526689325
"2657";21592,6655133744;23067,6069858065;21291,8690083808;23880,0760361371;20146,284330047;0,510571263610968
"2658";22577,8717936233;16808,1520650797;22582,9820558043;5430,53668227666;38068,9432333333;2,21430725641507
"2659";16013,5419022069;9746,20394213963;15304,088695771;11254,1980058178;14185,2249047646;-0,549343266770579
"2660";24940,139680075;19989,6097727744;25911,598978832;11254,1980058178;21495,9952811797;0,0865850326241044
"2661";13439,3342680142;12395,5867758542;13443,7497921225;11719,6484549964;9094,86386491228;-0,683186013465301
"2662";18578,633248419;22656,7451429116;17754,4490119475;23880,0760361371;19844,9559443478;-0,105160730040286
"2663";12108,1553743896;8119,82217048854;12742,235247892;11719,6484549964;7262,96386957435;-0,470970549496075
"2664";13223,9800966231;41707,920907232;13317,7169590854;22430,5430709877;9068,66390037881;-0,413245400319727
